,Country,global_population,Available_quantity_per_capita ,Domestic_availability,propensity_to_import,Avg duties,GDP_per_capita,currency volatility,poultry_share_in_meat_consumption,share_of_urban_pop,logistic score,nb days to start a business,food_price_volatility,Influenza
135,Sudan,41801.532999999996,1.6,69.0,0.028985507246376812,40.0,4022.9,21.34,0.071396697902722,34.936,2.43,34.5,369.7043020793245,0
136,Sri Lanka,21228.763,7.78,192.0,0.0,15.0,12536.9,19.29,0.1951341861048407,18.585,2.6,8.0,3.2137567681036634,1
137,Switzerland,8525.610999999999,15.72,133.0,0.38345864661654133,20.0,68393.3,0.02,0.18612360880890363,73.84899999999999,3.9,10.0,1.1330876508327576,1
138,Suriname,575.99,31.06,25.0,0.72,20.0,16130.2,1.97,0.525727826675694,66.095,2.6643478260869564,66.0,51.90734256475068,0
139,Sweden,9971.638,16.6,187.0,0.44919786096256686,0.0,50683.3,0.42,0.1510738987986895,87.708,4.05,7.5,1.0415615326459986,1
140,Senegal,15854.323,4.76,77.0,0.0,35.0,3300.1,13.8,0.14778019248680532,47.653,2.25,6.0,3.0803191681300093,0
141,Tajikistan,9100.835,4.45,40.0,0.95,10.0,3657.6,1.46,0.264251781472684,27.309,2.34,7.0,5.2996741125635705,1
142,Chad,15477.729,0.45,7.0,0.14285714285714285,5.0,1519.9,13.8,0.013368983957219253,23.279,2.42,58.0,3.785806279536686,0
143,Czech Republic,10665.677,21.96,249.0,0.46586345381526106,39.55555555555556,38319.3,1.05,0.23846237376479532,73.921,3.68,24.5,1.5710448173689455,0
144,Thailand,69428.453,12.95,881.0,0.0022701475595913734,38.0,17286.9,1.73,0.22900088417329795,50.692,3.41,6.0,0.6591376257175978,0
145,Togo,7889.093000000001,7.06,54.0,0.2962962962962963,35.0,2107.9,13.8,0.2904154668860551,42.248000000000005,2.45,2.5,2.2355211621823137,1
146,Trinidad and Tobago,1389.8429999999998,54.54,76.0,0.3026315789473684,40.0,23728.2,0.16,0.5896216216216216,53.187,2.42,10.5,1.564883289768481,0
147,Tunisia,11565.201000000001,17.03,195.0,0.0,36.0,9727.5,0.38,0.41026258732835463,69.25399999999999,2.57,9.0,1.8386424504525245,0
148,Turkey,82340.088,20.64,1674.0,0.0017921146953405018,62.111111111111114,28385.0,1.67,0.4722031571722718,75.63,3.15,7.0,7.553317198463604,0
